Name/ID	Vertical	Industry	EmployeeQuantityGrowthRate	SalesTurnoverGrowthRate	PriorYearEmployees	 PriorYearRevenue 	 SalesVolume 	SmallBusiness
19886	State/Local Government	Government	0	0	85	 $ -   	 $ -   	N
20216	State/Local Government	Government	0	0.104167	7	 $ 630,796.44 	 $ 696,504.41 	N
20331	Reseller	Telecommunications	0	0.015152	1	 $ 86,734.51 	 $ 88,048.67 	Y
20337	Reseller	Telecommunications	0	2.048272	25	 $ 1,077,610.59 	 $ 3,284,850.15 	Y
20827	Retail	Other Enterprise	-0.5	-0.627451	6	 $ 670,221.22 	 $ 262,831.85 	Y
20923	Consulting / Other Professional Services	Professional Services	0	0.286091	8	 $ 919,911.48 	 $ 1,183,090.27 	Y
20963	Consulting / Other Professional Services	Professional Services	0	0	13	 $ 1,314,159.26 	 $ 1,314,159.26 	Y
21104	Manufacturing	Energy & Manufacturing	-0.058824	-0.098564	22100	 $ 14,175,704,521.69 	 $ 12,778,490,396.46 	N
21244	RLEC	Telecommunications	0	0.838916	25	 $ 3,416,814.08 	 $ 6,283,234.60 	N
21428	State/Local Government	Government	0	0	100	 $ 23,539,433.56 	 $ 23,539,433.56 	N
21474	Internet Content & Software	Media & Content	0	0.678496	87	 $ 14,192,920.01 	 $ 23,822,754.47 	Y
21481	Consulting / Other Professional Services	Professional Services	2.833333	0	6	 $ 2,102,654.82 	 $ 2,102,654.82 	Y
21486	Regional Carrier/ISP	Telecommunications	0	0	3	 $ 328,539.82 	 $ 328,539.82 	Y
21576	Colo/Hosting	Data Center & Cloud Services	0	0	2	 $ 197,123.89 	 $ 197,123.89 	Y
21612	Higher Education	Research & Education	0	0	1100	 $ -   	 $ 195,857,059.19 	N
21613	Regional Carrier/ISP	Telecommunications	0	0	25	 $ 3,679,645.93 	 $ 3,679,645.93 	Y
21634	State/Local Government	Government	0	0	0	 $ -   	 $ 8,194,487.38 	Y
21647	Internet Content & Software	Media & Content	0	-0.032258	1	 $ 122,216.81 	 $ 118,274.33 	Y
21857	Wireless	Telecommunications	0	2.182119	14	 $ 1,839,822.96 	 $ 5,854,536.14 	Y
21930	Finance	Finance	0	4.081976	5	 $ 775,353.96 	 $ 3,940,330.44 	Y
22164	Consulting / Other Professional Services	Professional Services	0	0	2	 $ 262,831.85 	 $ 262,831.85 	Y
22278	Retail	Other Enterprise	0	0	5	 $ 3,416,814.08 	 $ 3,416,814.08 	Y
22309	Commercial Systems Integrator	Professional Services	0	0	35	 $ 19,821,217.06 	 $ 19,821,217.06 	Y
22390	Colo/Hosting	Data Center & Cloud Services	0	0	0	 $ -   	 $ 67,022.12 	Y
22430			0	0	2	 $ 289,115.04 	 $ 289,115.04 	N
22508	Internet Content & Software	Media & Content	0	0	0	 $ -   	 $ -   	0
22520	Consulting / Other Professional Services	Professional Services	0	0.208648	25	 $ 3,679,645.93 	 $ 4,447,394.85 	Y
22644	Finance	Finance	0	-0.116857	24	 $ 3,153,982.22 	 $ 2,785,417.06 	N
22645	Finance	Finance	0	0	2	 $ 197,123.89 	 $ 197,123.89 	Y
22747	Internet Content & Software	Media & Content	0	0	150	 $ 21,026,548.16 	 $ 21,026,548.16 	Y
22876	Finance	Finance	0	5.415062	1100	 $ 27,728,760.39 	 $ 177,881,704.97 	Y
22967	Finance	Finance	0	0.1605	350	 $ 27,597,344.46 	 $ 32,026,716.93 	N
22973	Retail	Other Enterprise	0	0.018868	1	 $ 69,650.44 	 $ 70,964.60 	Y
23000			0	0.527164	100	 $ 22,340,707.42 	 $ 34,117,929.36 	N
23138	Finance	Finance	0	-0.066667	2	 $ 197,123.89 	 $ 183,982.30 	Y
23197	Regional Carrier/ISP	Telecommunications	0	0.027027	4	 $ 486,238.93 	 $ 499,380.52 	Y
23312	Finance	Finance	0.22807	1.790293	285	 $ 42,973,007.80 	 $ 119,907,273.53 	N
23313	Regional Carrier/ISP	Telecommunications	0	0	0	 $ -   	 $ -   	N
23405	State/Local Government	Government	0	0	2	 $ 183,982.30 	 $ 183,982.30 	Y
23539	Colo/Hosting	Data Center & Cloud Services	0	0.767934	20	 $ 3,153,982.22 	 $ 5,576,032.93 	Y
23588	Internet Content & Software	Media & Content	0	0.148582	35	 $ 4,730,973.34 	 $ 5,433,910.55 	Y
23614	Research	Research & Education	0	0	2	 $ 131,415.93 	 $ 131,415.93 	Y
23885	Wireless	Telecommunications	0	-0.441773	10	 $ 1,169,601.74 	 $ 652,903.23 	Y
23999	Engineering	Professional Services	0	2.67113	100	 $ 20,632,300.38 	 $ 75,743,863.47 	N
24048	Retail	Other Enterprise	0	0	12	 $ 1,708,407.04 	 $ 1,708,407.04 	Y
24139	Reseller	Telecommunications	0	0.058824	3	 $ 223,407.07 	 $ 236,548.67 	Y
24150	National Carrier/ISP	Telecommunications	0	0	2	 $ 113,017.70 	 $ 113,017.70 	Y
24284	Commercial Systems Integrator	Professional Services	0	0	0	 $ -   	 $ -   	N
24370	Retail	Other Enterprise	0	2.259967	42	 $ 1,971,238.89 	 $ 6,426,173.07 	Y
24593	Retail	Other Enterprise	0	0.708249	250	 $ 36,796,459.28 	 $ 62,857,517.40 	N
24783	Reseller	Telecommunications	3.473684	5.688192	19	 $ 2,365,486.67 	 $ 15,820,829.53 	Y
24863	Retail	Other Enterprise	0	1.351296	1819	 $ 134,701,324.15 	 $ 316,722,643.93 	N
25178	Healthcare	Healthcare	0	0	2	 $ 111,703.54 	 $ 111,703.54 	Y
25231	Internet Content & Software	Media & Content	0	0	2	 $ 114,331.86 	 $ 114,331.86 	Y
25356	Consulting / Other Professional Services	Professional Services	0.046875	0.058513	3200	 $ 894,174,987.05 	 $ 946,495,609.67 	N
25464	Media	Media & Content	0	0.010526	10	 $ 1,248,451.30 	 $ 1,261,592.89 	Y
25662	Internet Content & Software	Media & Content	0	0.147541	11	 $ 801,637.15 	 $ 919,911.48 	Y
25744	Real Estate / Construction	Other Enterprise	0	0	0	 $ -   	 $ -   	N
25761	Internet Content & Software	Media & Content	0	0.022222	6	 $ 591,371.67 	 $ 604,513.26 	Y
25763	Finance	Finance	0	0.212121	2	 $ 130,101.77 	 $ 157,699.11 	Y
25830	Internet Content & Software	Media & Content	0	0.025316	1	 $ 103,818.58 	 $ 106,446.90 	Y
25872	Finance	Finance	0	0	0	 $ -   	 $ -   	N
25885	Transportation	Other Enterprise	0	0.226717	60	 $ 3,679,645.93 	 $ 4,513,886.05 	Y
26267	Consulting / Other Professional Services	Professional Services	11.5	23.656875	4	 $ 670,221.22 	 $ 16,525,560.58 	Y
26325	Manufacturing	Energy & Manufacturing	0	-0.999907	260	 $ 243,119,463.10 	 $ 22,723.13 	N
26351	State/Local Government	Government	0	0	1200	 $ -   	 $ -   	N
26371	Colo/Hosting	Data Center & Cloud Services	0	0.026996	5300	 $ 4,405,456,087.30 	 $ 4,524,387,500.33 	N
26488	Consulting / Other Professional Services	Professional Services	0	0.011993	68	 $ 9,593,362.60 	 $ 9,708,415.93 	Y
26669	Internet Content & Software	Media & Content	0	0.573161	300	 $ 43,104,423.73 	 $ 67,810,188.09 	Y
26670	Healthcare	Healthcare	0	0	35000	 $ 1,612,356,451.85 	 $ 1,612,356,451.85 	N
26867	Legal	Professional Services	0	0	6	 $ 578,230.07 	 $ 578,230.07 	Y
27411	Healthcare	Healthcare	0	13.156501	14400	 $ 1,176,172,537.70 	 $ 16,650,487,138.41 	N
27533	Internet Content & Software	Media & Content	1.266667	4.587922	75	 $ 11,696,017.41 	 $ 65,356,437.23 	N
27779	Retail	Other Enterprise	0	0	1	 $ 65,707.96 	 $ 65,707.96 	Y
28013	Real Estate / Construction	Other Enterprise	0	6.436675	550	 $ 18,398,229.64 	 $ 136,821,660.98 	N
28078	Regional Carrier/ISP	Telecommunications	0	0	1	 $ 73,592.92 	 $ 73,592.92 	Y
28244	Internet Content & Software	Media & Content	0	0	25	 $ 2,496,902.59 	 $ 2,496,902.59 	Y
28510	National Carrier/ISP	Telecommunications	0	0	1	 $ -   	 $ -   	0
28634	Media	Media & Content	0	0.036097	30	 $ 413,300,352.50 	 $ 428,219,194.38 	N
28664	K-12 Education	Research & Education	0	0	0	 $ -   	 $ -   	N
28945	Finance	Finance	0	0	2	 $ 170,840.70 	 $ 170,840.70 	Y
29229	Cloud Service Provider	Data Center & Cloud Services	0.8	1.247377	10	 $ 1,445,575.19 	 $ 3,248,752.82 	Y
29279	Finance	Finance	0	0	50	 $ 4,599,557.41 	 $ 4,599,557.41 	Y
29296	Wireless	Telecommunications	0	-0.081016	65	 $ 8,410,619.26 	 $ 7,729,223.75 	Y
29382	Federal Government	Government	0	0	0	 $ -   	 $ -   	N
29450	Retail	Other Enterprise	0	2.219679	20	 $ 2,234,070.74 	 $ 7,192,990.26 	Y
29479	Internet Content & Software	Media & Content	0	0.026316	1	 $ 99,876.10 	 $ 102,504.42 	Y
29582	Consulting / Other Professional Services	Professional Services	0	1.725974	195	 $ 7,753,539.63 	 $ 21,135,946.66 	Y
29832	Systems Integrators	Government	0	0	14	 $ 1,839,822.96 	 $ 1,839,822.96 	Y
29842	Cloud Service Provider	Data Center & Cloud Services	0	0	2	 $ 197,123.89 	 $ 197,123.89 	Y
29857	VOIP/VSP	Telecommunications	0	-0.236658	150	 $ 31,276,990.39 	 $ 23,875,031.72 	Y
30010	Finance	Finance	0	0	0	 $ -   	 $ 5,974,595.10 	N
30081	Cable & Satellite	CATV/Satellite	0	0	15	 $ -   	 $ 1,235,859.02 	Y
30422			0	1.949996	375	 $ 32,722,565.57 	 $ 96,531,448.85 	N
30496	Internet Content & Software	Media & Content	0	0	2	 $ 183,982.30 	 $ 183,982.30 	Y
30567	Legal	Professional Services	0	1.345058	3662	 $ 450,099,546.55 	 $ 1,055,509,542.43 	N
30592	Real Estate / Construction	Other Enterprise	0	0	0	 $ -   	 $ -   	N
30679	Internet Content & Software	Media & Content	0	0	0	 $ -   	 $ 131,415.93 	Y
30692	Internet Content & Software	Media & Content	0	0	0	 $ -   	 $ -   	N
30717	Cable & Satellite	CATV/Satellite	0	0	7	 $ 328,539.82 	 $ 328,539.82 	Y
30746	Consulting / Other Professional Services	Professional Services	0.003176	0	17000	 $ -   	 $ 4,294,340,070.06 	N
30786	National Carrier/ISP	Telecommunications	#N/A	#N/A	#N/A	 #N/A 	 #N/A 	#N/A
30842	Media	Media & Content	0	0	2	 $ 123,530.97 	 $ 123,530.97 	Y
30934	Media	Media & Content	0.166667	0.488619	12	 $ 1,130,176.96 	 $ 1,682,402.45 	Y
31243	RLEC	Telecommunications	0	0	12	 $ 2,978,218.68 	 $ 2,978,218.68 	Y
31431	Internet Content & Software	Media & Content	0	0	22	 $ 16,426,990.75 	 $ 16,426,990.75 	Y
31463	Federal Government	Government	0	0	9500	 $ -   	 $ -   	N
31487	Consulting / Other Professional Services	Professional Services	0	0	40	 $ 15,769,911.12 	 $ 15,769,911.12 	Y
31770	K-12 Education	Research & Education	0	0	0	 $ -   	 $ 599,607.50 	N
31916	Regional Carrier/ISP	Telecommunications	0	0.017857	1	 $ 73,592.92 	 $ 74,907.08 	Y
31995	Telecommunications Equipment Provider	Other Enterprise	0	0.422066	10	 $ 1,287,876.07 	 $ 1,831,445.20 	Y
32223	Finance	Finance	0	0.387768	70	 $ 10,644,690.01 	 $ 14,772,363.05 	Y
32434	Finance	Finance	0	0	25	 $ 591,371.67 	 $ 591,371.67 	Y
32471	Retail	Other Enterprise	0	-0.594933	2500	 $ 177,017,252.32 	 $ 71,703,922.38 	N
32627	Colo/Hosting	Data Center & Cloud Services	23	117.499977	1	 $ 170,840.70 	 $ 20,244,619.46 	Y
32729	Finance	Finance	0	0	30	 $ 1,839,822.96 	 $ 1,839,822.96 	Y
32924	Federal Government	Government	0	0	0	 $ -   	 $ -   	N
33180	Manufacturing	Energy & Manufacturing	0	1.710904	2700	 $ 428,284,502.83 	 $ 1,161,038,343.24 	N
33198	Cloud Service Provider	Data Center & Cloud Services	0	0.011236	1	 $ 116,960.17 	 $ 118,274.33 	Y
33226	Engineering	Professional Services	0	0	13	 $ 1,708,407.04 	 $ 1,708,407.04 	Y
33432	RLEC	Telecommunications	0	-0.047619	3	 $ 275,973.44 	 $ 275,973.44 	Y
33728	Internet Content & Software	Media & Content	0	1.887689	100	 $ 18,135,397.79 	 $ 52,369,383.18 	N
34173	Consulting / Other Professional Services	Professional Services	0.333333	4	30	 $ 2,891,150.37 	 $ 14,455,751.86 	Y
34269	Internet Content & Software	Media & Content	0	0.546378	47	 $ 6,439,380.37 	 $ 9,957,713.25 	N
34427	Consulting / Other Professional Services	Professional Services	0	0	0	 $ -   	 $ -   	N
34444	Consulting / Other Professional Services	Professional Services	0	0	3	 $ 236,548.67 	 $ 236,548.67 	Y
34512	State/Local Government	Government	0	0	2500	 $ -   	 $ -   	N
34574	PTT	Telecommunications	1.1	4.691529	10	 $ 985,619.45 	 $ 5,609,681.98 	N
35258	Regional Carrier/ISP	Telecommunications	0	10.125187	350	 $ 23,260,618.90 	 $ 258,778,741.72 	Y
35355			0	1.193305	30	 $ 4,336,725.56 	 $ 9,511,759.88 	Y
35412	Federal Government	Government	0	1.575201	40	 $ 2,365,486.67 	 $ 6,091,603.90 	N
